repo_name,primary_domain,navigation_domains,Helps You Decide,Primary Capability,repository_url
Retail-and-Maquila-Inventory-Ledger,inventory,inventory,Where is inventory moving across retail and maquila operations?,Track inventory movement processing loss and stock exposure across factories warehouses and stores.,https://github.com/HyVoid/Retail-and-Maquila-Inventory-Ledger
Universal-3D-Cargo-Loading-Optimization-Simulator,inventory,inventory;engineering,How should cargo be loaded to reduce wasted space and operational friction?,Simulate 3D cargo loading configurations to maximize container capacity and shipping efficiency.,https://github.com/HyVoid/Universal-3D-Cargo-Loading-Optimization-Simulator
Marketing-Audit-Decision-Console,marketing,marketing,What should we fix first in marketing performance?,Audit marketing channel performance by reconciling ad spend data with actual revenue attribution.,https://github.com/HyVoid/Marketing-Audit-Decision-Console
Marketing-Budget-Allocation-Simulator,marketing,marketing,Where should the next dollar of marketing spend go?,Allocate marketing budget across channels using portfolio theory and return simulation.,https://github.com/HyVoid/Marketing-Budget-Allocation-Simulator
Paid-Media-Data-Hub,marketing,marketing;data-architecture,How do we turn paid media exports into usable performance data?,Transform paid media data exports into standardized decision-ready performance reports.,https://github.com/HyVoid/Paid-Media-Data-Hub
tiktok-marketing-roi-calculator,marketing,marketing,Which monthly agency actions are justified by performance evidence?,Standardize agency performance reporting and benchmark TikTok campaign results against strategic objectives.,https://github.com/HyVoid/tiktok-marketing-roi-calculator
Membership-Engagement-Analytics-Workspace,marketing,marketing;data-architecture,Which members are engaged slipping or ready for intervention?,Identify member churn risk and engagement trends across lifetime participation history.,https://github.com/HyVoid/Membership-Engagement-Analytics-Workspace
crm-shopify-marketing-attribution-excel,marketing,marketing;data-architecture,Which marketing spend actually produced profitable revenue?,Connect marketing acquisition channels to CRM sales progression and Shopify revenue through unified customer identity attribution.,https://github.com/HyVoid/crm-shopify-marketing-attribution-excel
Excel-Operations-Control-Dashboard,operations,operations;data-architecture,Which operational metrics require management attention?,Monitor operational KPIs from a single source of truth without manual report consolidation.,https://github.com/HyVoid/Excel-Operations-Control-Dashboard
project-time-tracking-excel-template,operations,operations,Which projects are drifting on time cost or margin?,Analyze project labor cost allocation and profitability across active project portfolios.,https://github.com/HyVoid/project-time-tracking-excel-template
Caf-audit-tool-for-efficient-reviews,operations,operations,Which operational dimension is costing the most revenue and does the financial leakage demand immediate intervention?,Convert structured cafe observations into a weighted diagnostic score financial leakage estimate and prioritized corrective action list.,https://github.com/HyVoid/Caf-audit-tool-for-efficient-reviews
Restaurant-Menu-Configuration-Modifier-Pricing-Toolkit,operations,operations,Is the menu consistently priced across all modifier combinations and sizes or are there hidden pricing errors waiting to surface?,Centralize restaurant menu configuration modifier pricing rules and POS-ready menu data into one governed source of truth.,https://github.com/HyVoid/Restaurant-Menu-Configuration-Modifier-Pricing-Toolkit
wedding-planner,operations,operations,Which wedding planning tasks costs and timelines need coordination?,Coordinate vendor management task tracking and budget control across wedding planning workflows.,https://github.com/HyVoid/wedding-planner
manufacturing-capacity-planning-template,operations,operations,Is labor capacity being utilized efficiently or does the operation need different staffing or scheduling?,Transform production plans and labor data into capacity utilization labor cost allocation and staffing decisions.,https://github.com/HyVoid/manufacturing-capacity-planning-template
Cin7-Business-Performance-Analyzer,operations,operations;data-architecture,What does Cin7 operating data say about business performance?,Translate Cin7 inventory and operations data into actionable business performance insights.,https://github.com/HyVoid/Cin7-Business-Performance-Analyzer
Aviation-Compliance-Research-Repository,compliance,compliance,Which aviation compliance rule or operating constraint applies?,Interpret aviation compliance requirements into operational flight duty constraints.,https://github.com/HyVoid/Aviation-Compliance-Research-Repository
Reckon-IIF-Converter,compliance,compliance,How do we reduce accounting import and migration risk?,Convert CRM invoice exports into validated import-ready accounting file formats.,https://github.com/HyVoid/Reckon-IIF-Converter
shopify-etsy-vat-calculator,compliance,compliance,Can this month's multi-country VAT filing be submitted with confidence?,Calculate and validate monthly multi-country VAT liabilities across Shopify and Etsy transaction data.,https://github.com/HyVoid/shopify-etsy-vat-calculator
DIN-743-Shaft-Calculations,engineering,engineering,Does the shaft design satisfy the relevant calculation logic?,Apply DIN 743 shaft calculation standards to engineering design decisions.,https://github.com/HyVoid/DIN-743-Shaft-Calculations
construction-estimating,engineering,engineering,What will this construction scope cost under current assumptions?,Standardize construction tender estimating and transform completed estimates into reusable cost libraries.,https://github.com/HyVoid/construction-estimating
AIA-Construction-Estimating-Cost-Tracking-Workbook,engineering,engineering,How do estimates and tracked costs compare through delivery?,Compare construction estimates against actual costs throughout project delivery using AIA-standard formats.,https://github.com/HyVoid/AIA-Construction-Estimating-Cost-Tracking-Workbook
Cross-Border-DTC-Inventory-Governance-Console,inventory,inventory,What is the real purchasing demand after removing pre-order liabilities and expected returns?,Reconstruct true demand signals by isolating pre-order obligations and return behavior from raw sales data.,https://github.com/HyVoid/Cross-Border-DTC-Inventory-Governance-Console
Fund-Unitization-NAV-Excel-tool-for-cashflow-management,profitability,profitability,What is each participant actually owed based on their entry timing and current pool value?,Track investment pool ownership continuously using NAV-based unit accounting.,https://github.com/HyVoid/Fund-Unitization-NAV-Excel-tool-for-cashflow-management
DTC-Financial-Control-Cash-Flow-Toolkit,profitability,profitability;data-architecture,Which operational commitments will create a cash problem in the next twelve weeks?,Connect Shopify sales bank transactions advertising spend and inventory purchasing into a unified cash flow decision framework.,https://github.com/HyVoid/DTC-Financial-Control-Cash-Flow-Toolkit
construction-project-management-excel,engineering,engineering;profitability,Is the project financial position accurate after incorporating approved changes actual costs and billing progress?,Integrate budgets change orders progress billing and cash flow into a single construction project control framework.,https://github.com/HyVoid/construction-project-management-excel
Revenue-Management-Decision-Engine,profitability,profitability;operations,Has enough meaningful information changed to justify a pricing adjustment?,Govern pricing recommendations through configurable guard rails that prevent unnecessary revenue volatility.,https://github.com/HyVoid/Revenue-Management-Decision-Engine
Amazon-Business-Review-Engine,profitability,profitability;marketing;data-architecture,What actually changed in the business this period and which products or keywords drove the change?,Transform Amazon Seller Central SQP and Sellerboard exports into standardized executive business reviews.,https://github.com/HyVoid/Amazon-Business-Review-Engine
food-manufacturing-cost-calculator-excel,profitability,profitability,Which products are actually profitable after all manufacturing costs are allocated and which are destroying margin?,Allocate factory labor utilities overhead and material costs to every SKU for true unit manufacturing economics.,https://github.com/HyVoid/food-manufacturing-cost-calculator-excel
employee-performance-dashboard-excel,operations,operations,Which employees and projects are at risk of delivery failure and where should management intervene before deadlines pass?,Connect annual work planning execution tracking weighted performance evaluation and management reporting into one continuous operational workflow.,https://github.com/HyVoid/employee-performance-dashboard-excel
Rental-Property-Operations-Vacancy-Intelligence-Excel-Toolkit,operations,operations,Which units are losing revenue through undetected vacancy and which turnovers need immediate action?,Transform booking records into live occupancy status vacancy intelligence and operational alerts across an entire rental portfolio.,https://github.com/HyVoid/Rental-Property-Operations-Vacancy-Intelligence-Excel-Toolkit
E-commerce-Profit-Intelligence-Reconciliation-Excel-Toolkit,profitability,profitability,Which orders are actually profitable after all hidden costs and where is money leaking across channels and currencies?,Reconstruct true order-level profitability by reconciling sales payouts shipping costs payment fees and marketplace commissions across multi-channel e-commerce operations.,https://github.com/HyVoid/E-commerce-Profit-Intelligence-Reconciliation-Excel-Toolkit
workforce-planning-payroll-excel-dashboard,operations,operations,Is the organization burning through annual workforce capacity faster than planned and which departments need intervention before overtime costs spiral?,Consolidate payroll spending annual contracted hours overtime ratios and workforce utilization into one cross-department capacity planning framework.,https://github.com/HyVoid/workforce-planning-payroll-excel-dashboard
Industrial-Energy-Cost-Total-Cost-of-Ownership-TCO-Decision-Support-Toolkit,engineering,engineering,Which energy option delivers the lowest total cost of ownership for this specific project under its actual operating conditions?,Compare industrial energy sources on a true useful-energy basis by normalizing fuel costs equipment efficiency infrastructure investment and lifecycle ownership costs.,https://github.com/HyVoid/Industrial-Energy-Cost-Total-Cost-of-Ownership-TCO-Decision-Support-Toolkit
Contractor-Operations-Profitability-Management-System,profitability,profitability;operations,Which contractor projects and customers are actually profitable after all job costs?,"Connect lead estimation, job execution, and actual cost tracking into a unified contractor profitability framework.",https://github.com/HyVoid/Contractor-Operations-Profitability-Management-System
Flora-Pastry-Coffee-Shop-Operating-Control-System,profitability,profitability;inventory;operations,"Is the shop genuinely profitable after all ingredient, labor, and operating costs?","Connect recipe costing, sales, inventory consumption, and operating expenses into a unified profitability and cash flow framework.",https://github.com/HyVoid/Flora-Pastry-Coffee-Shop-Operating-Control-System
Warehouse-Billing-Control-System-Excel-Toolkit,operations,operations;inventory,Are warehouse billing charges accurate and traceable to underlying operational records?,"Calculate warehouse storage, handling, and transport charges into auditable customer billing statements.",https://github.com/HyVoid/Warehouse-Billing-Control-System-Excel-Toolkit
Booking-Level-Profitability-Job-Costing-Engine-for-Freight-Forwarders,profitability,profitability;data-architecture,"Which freight bookings are actually profitable after all costs, fees, and currency conversion?","Measure booking-level freight profitability by reconciling revenue, COGS, bank fees, and container costs across mixed-currency transactions.",https://github.com/HyVoid/Booking-Level-Profitability-Job-Costing-Engine-for-Freight-Forwarders
cross-entity-logistics-console,profitability,profitability;operations,Which containers and customers are actually profitable across customs and fleet operations?,Consolidate customs clearance and fleet execution data into a single container-level profitability view.,https://github.com/HyVoid/cross-entity-logistics-console
Family-Long-Term-Fund-Flow-Interest-Reconciliation-Excel-Toolkit,profitability,profitability,What is actually owed today after years of transfers and accrued interest?,Reconcile long-term fund transfers and interest accruals into a current outstanding balance.,https://github.com/HyVoid/Family-Long-Term-Fund-Flow-Interest-Reconciliation-Excel-Toolkit
residential-boq-template,engineering,engineering;profitability,What will this residential project cost and which divisions are already over budget?,Estimate residential construction costs from BOQ takeoffs and rates while tracking approved budgets against actual spending.,https://github.com/HyVoid/residential-boq-template
tunnel-cost-estimator-boq-excel,engineering,engineering,What will this drill-and-blast tunnel project cost under the assumed construction cycle?,"Estimate drill-and-blast tunnel excavation, drilling, blasting, support, equipment, and labour requirements into a complete project cost and BOQ.",https://github.com/HyVoid/tunnel-cost-estimator-boq-excel
commercial-hvac-plumbing-bid-estimator,operations,operations;profitability;inventory;engineering,"What is a defensible, auditable bid price for this commercial MEP project?",Estimate and track commercial MEP project costs from takeoff to final bid submission.,https://github.com/HyVoid/commercial-hvac-plumbing-bid-estimator
landed-cost-calculator-excel,operations,operations;inventory;profitability;data-architecture,"Why does the SKU-level landed cost from my ERP differ from the freight forwarder's API, and which allocation method is causing the margin erosion?",Reconcile and benchmark landed cost calculations against a practitioner template to trace SKU-level cost allocation differences to their underlying accounting logic.,https://github.com/HyVoid/landed-cost-calculator-excel
